5TH MOVE: 6306, e4f4
5TH MOVE: 5351, f8g8
5TH MOVE: 5351, f8g7
5TH MOVE: 5351, f8e7
5TH MOVE: 5351, a8e8
5TH MOVE: 5351, a8d8
5TH MOVE: 5351, a8c8
5TH MOVE: 5351, a8b8
5TH MOVE: 5354, h7f6
5TH MOVE: 5356, h7g5
5TH MOVE: 5176, e4e8
5TH MOVE: 5176, e4e7
5TH MOVE: 5178, e4g6
5TH MOVE: 5179, e4e6
5TH MOVE: 5179, e4c6
5TH MOVE: 5181, e4f5
5TH MOVE: 5331, e4e5
5TH MOVE: 5331, e4d5
5TH MOVE: 5211, e4f3
5TH MOVE: 5211, e4e3
5TH MOVE: 5211, e4d3
5TH MOVE: 5216, e4g2
5TH MOVE: 5216, e4e2
5TH MOVE: 5216, e4c2
5TH MOVE: 5176, e4h1
5TH MOVE: 5176, e4e1
5TH MOVE: 5176, e4b1
5TH MOVE: 5379, f7f6
5TH MOVE: 5378, b7b6
5TH MOVE: 5377, a7a6
5TH MOVE: 5377, h6h5
5TH MOVE: 5236, d4d3
5TH MOVE: 5406, f7f5
5TH MOVE: 5406, b7b5
5TH MOVE: 5403, a7a5
4TH MOVE: 6306, d5c7
5TH MOVE: 7666, e4d5
4TH MOVE: 7666, d1d4
5TH MOVE: 9141, f8e7
4TH MOVE: 9141, d5e7
5TH MOVE: 9144, h7f6
4TH MOVE: 9144, d5f6
5TH MOVE: 7371, e4f4
4TH MOVE: 7371, d5b6
5TH MOVE: 7391, e4f4
4TH MOVE: 7391, d5b4
5TH MOVE: 7393, e4f4
4TH MOVE: 7393, d5e3
5TH MOVE: 7393, e4f4
4TH MOVE: 7393, d5c3
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, g1h2
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, g1f2
5TH MOVE: 9118, e4d5
4TH MOVE: 9118, f1f3
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, f1f2
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, f1e1
5TH MOVE: 9118, e4d5
4TH MOVE: 9118, d1d3
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, d1d2
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, d1e1
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, d1c1
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, d1b1
5TH MOVE: 9121, e4d5
4TH MOVE: 9121, d1a1
5TH MOVE: 7376, h7g5
4TH MOVE: 7376, g4g5
5TH MOVE: 7201, e4f5
4TH MOVE: 7201, f4f5
5TH MOVE: 9094, e4d5
