MAX CHOSEN: -12650, Queen, White, 4, 4
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 6, 5
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Queen, White, 5, 4
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Queen, White, 4, 5
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 5, 6
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 7, 7
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 7, 3
FINAL MOVE: -3500, King, Black, 3, 7
MAX CHOSEN: -3500, Queen, White, 3, 7
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 3, 3
FINAL MOVE: -12500, King, Black, 3, 7
MAX CHOSEN: -12500, Queen, White, 7, 5
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 5, 3
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 3, 5
FINAL MOVE: -12500, King, Black, 3, 7
MAX CHOSEN: -12500, Queen, White, 5, 7
FINAL MOVE: -12500, King, Black, 3, 7
MAX CHOSEN: -12500, Queen, White, 8, 8
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 2, 8
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 8, 5
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 5, 2
FINAL MOVE: -12500, Pawn, Black, 1, 3
MAX CHOSEN: -12500, Queen, White, 2, 5
FINAL MOVE: -12500, King, Black, 3, 7
MAX CHOSEN: -12500, Queen, White, 5, 8
FINAL MOVE: -3500, Rook, Black, 1, 5
MAX CHOSEN: -3500, Queen, White, 1, 5
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Bishop, White, 5, 2
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Bishop, White, 4, 3
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Bishop, White, 3, 4
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Bishop, White, 2, 5
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Bishop, White, 1, 6
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Pawn, White, 7, 3
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Pawn, White, 7, 4
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Rook, White, 7, 1
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Pawn, White, 8, 3
FINAL MOVE: -12650, Pawn, Black, 1, 3
MAX CHOSEN: -12650, Pawn, White, 8, 4
MIN CHOSEN: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
FINAL MOVE: -12650, Pawn, Black, 6, 6
FINAL MOVE: -12650, Pawn, Black, 6, 5
FINAL MOVE: -12650, Bishop, Black, 7, 7
FINAL MOVE: -12650, Bishop, Black, 7, 5
FINAL MOVE: -12650, Bishop, Black, 6, 8
FINAL MOVE: -12650, Bishop, Black, 6, 4
FINAL MOVE: -12650, Bishop, Black, 5, 3
FINAL MOVE: -12650, Bishop, Black, 4, 2
FINAL MOVE: -12650, Bishop, Black, 3, 1
MAX CHOSEN: -12500, Pawn, White, 1, 3
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 1, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, King, White, 1, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 2, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -11650, Pawn, Black, 2, 4
MAX CHOSEN: -11650, Pawn, White, 2, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 4, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 5, 2
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 3, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 5, 3
FINAL MOVE: -12800, Pawn, Black, 1, 4
FINAL MOVE: -12800, Pawn, Black, 2, 6
FINAL MOVE: -12800, Pawn, Black, 2, 5
FINAL MOVE: -12800, Rook, Black, 1, 8
FINAL MOVE: -12800, Pawn, Black, 4, 6
FINAL MOVE: -12650, Pawn, Black, 4, 5
FINAL MOVE: -12800, Pawn, Black, 6, 6
FINAL MOVE: -12800, Pawn, Black, 6, 5
FINAL MOVE: -12800, Bishop, Black, 7, 7
FINAL MOVE: -12800, Bishop, Black, 7, 5
FINAL MOVE: -12800, Bishop, Black, 6, 8
FINAL MOVE: -12800, Bishop, Black, 6, 4
FINAL MOVE: -12800, Bishop, Black, 5, 3
FINAL MOVE: -12800, Bishop, Black, 4, 2
FINAL MOVE: -12800, Bishop, Black, 3, 1
MAX CHOSEN: -12650, Rook, White, 5, 4
MIN CHOSEN: -12650, Rook, Black, 2, 8
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
FINAL MOVE: -12650, Pawn, Black, 6, 6
FINAL MOVE: -12650, Pawn, Black, 6, 5
FINAL MOVE: -12650, Bishop, Black, 7, 7
FINAL MOVE: -12650, Bishop, Black, 7, 5
FINAL MOVE: -12650, Bishop, Black, 6, 8
FINAL MOVE: -12650, Bishop, Black, 6, 4
FINAL MOVE: -12650, Bishop, Black, 5, 3
FINAL MOVE: -12650, Bishop, Black, 4, 2
FINAL MOVE: -12650, Bishop, Black, 3, 1
MAX CHOSEN: -12500, Pawn, White, 1, 3
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 1, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, King, White, 1, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 2, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -11650, Pawn, Black, 2, 4
MAX CHOSEN: -11650, Pawn, White, 2, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 4, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 5, 2
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 3, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 1, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 5, 3
FINAL MOVE: -12800, Pawn, Black, 1, 4
FINAL MOVE: -12800, Rook, Black, 1, 6
FINAL MOVE: -12800, Rook, Black, 1, 8
FINAL MOVE: -12800, Pawn, Black, 2, 6
FINAL MOVE: -12800, Pawn, Black, 2, 5
FINAL MOVE: -12800, Pawn, Black, 4, 6
FINAL MOVE: -12650, Pawn, Black, 4, 5
FINAL MOVE: -12800, Pawn, Black, 6, 6
FINAL MOVE: -12800, Pawn, Black, 6, 5
FINAL MOVE: -12800, Bishop, Black, 7, 7
FINAL MOVE: -12800, Bishop, Black, 7, 5
FINAL MOVE: -12800, Bishop, Black, 6, 8
FINAL MOVE: -12800, Bishop, Black, 6, 4
FINAL MOVE: -12800, Bishop, Black, 5, 3
FINAL MOVE: -12800, Bishop, Black, 4, 2
FINAL MOVE: -12800, Bishop, Black, 3, 1
MAX CHOSEN: -12650, Rook, White, 5, 4
MIN CHOSEN: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
FINAL MOVE: -12650, Pawn, Black, 6, 6
FINAL MOVE: -12650, Pawn, Black, 6, 5
FINAL MOVE: -12650, Bishop, Black, 7, 7
FINAL MOVE: -12650, Bishop, Black, 7, 5
FINAL MOVE: -12650, Bishop, Black, 6, 8
FINAL MOVE: -12650, Bishop, Black, 6, 4
FINAL MOVE: -12650, Bishop, Black, 5, 3
FINAL MOVE: -12650, Bishop, Black, 4, 2
FINAL MOVE: -12650, Bishop, Black, 3, 1
MAX CHOSEN: -12500, Pawn, White, 1, 3
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 1, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, King, White, 1, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 2, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -11650, Pawn, Black, 2, 4
MAX CHOSEN: -11650, Pawn, White, 2, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 3
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Pawn, White, 3, 4
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 4, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 5, 2
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
FINAL MOVE: -12650, Rook, Black, 1, 7
FINAL MOVE: -12650, Rook, Black, 3, 6
FINAL MOVE: -12650, Rook, Black, 1, 8
FINAL MOVE: -12650, Rook, Black, 4, 6
FINAL MOVE: -12650, Rook, Black, 5, 6
FINAL MOVE: -12650, Rook, Black, 6, 6
FINAL MOVE: -12650, Rook, Black, 7, 6
FINAL MOVE: -12650, Pawn, Black, 2, 6
FINAL MOVE: -12650, Pawn, Black, 2, 5
FINAL MOVE: -12650, Pawn, Black, 4, 6
FINAL MOVE: -12500, Pawn, Black, 4, 5
MAX CHOSEN: -12500, Rook, White, 3, 1
FINAL MOVE: -12650, Pawn, Black, 1, 4
FINAL MOVE: -12650, Rook, Black, 2, 6
